i;Bissection;Section;Newton;Halley
0;1.0000000000000000;0.0000000000000000;1.0000000000000000;1.0000000000000000
1;0.5000000000000000;2.0000000000000000;0.7503638678402439;0.7408739950803436
2;0.7500000000000000;0.5854549279332186;0.7391128909113617;0.7390851338775819
3;0.6250000000000000;0.7171348682551959;0.7390851333852840;0.7390851332151607
4;0.6875000000000000;0.7399007654901236;0.7390851332151607;0.7390851332151607
5;0.7187500000000000;0.7390811360542055;0.7390851332151607;;
6;0.7343750000000000;0.7390851324955945;;;
7;0.7421875000000000;0.7390851332151613;;;
8;0.7382812500000000;0.7390851332151607;;;
9;0.7402343750000000;;;;
10;0.7392578125000000;;;;
11;0.7387695312500000;;;;
12;0.7390136718750000;;;;
13;0.7391357421875000;;;;
14;0.7390747070312500;;;;
15;0.7391052246093750;;;;
16;0.7390899658203125;;;;
17;0.7390823364257813;;;;
18;0.7390861511230469;;;;
19;0.7390842437744141;;;;
20;0.7390851974487305;;;;
21;0.7390847206115723;;;;
22;0.7390849590301514;;;;
23;0.7390850782394409;;;;
24;0.7390851378440857;;;;
25;0.7390851080417633;;;;
26;0.7390851229429245;;;;
27;0.7390851303935051;;;;
28;0.7390851341187954;;;;
29;0.7390851322561503;;;;
30;0.7390851331874728;;;;
31;0.7390851336531341;;;;
32;0.7390851334203035;;;;
33;0.7390851333038881;;;;
34;0.7390851332456805;;;;
35;0.7390851332165767;;;;
36;0.7390851332020247;;;;
37;0.7390851332093007;;;;
38;0.7390851332129387;;;;
39;0.7390851332147577;;;;
40;0.7390851332156672;;;;
41;0.7390851332152124;;;;
42;0.7390851332149850;;;;
43;0.7390851332150987;;;;
44;0.7390851332151556;;;;
45;0.7390851332151840;;;;
46;0.7390851332151698;;;;
47;0.7390851332151627;;;;
48;0.7390851332151591;;;;
49;0.7390851332151609;;;;
50;0.7390851332151600;;;;
51;;;;;
